BI 40μm epi	no AR
eV	QE %
10	2
20	19.04
30	68.87
40	73.65
50	78.64
60	82.08
70	83.67
80	88.29
90	89.67
100	70.98
110	30.25
120	15.33
130	13.97
140	15.61
150	15.76
160	16.13
170	15.91
180	18.83
190	28.79
200	33.06
210	37.26
220	41.55
230	46.95
240	52.79
250	59
300	65
400	75
600	89
800	95
1200	95
1600	97.99
1700	96.61
1800	94.56
1900	97.12
2000	97.45
2200	97.98
2300	98.19
2500	98.53
2700	98.8
2800	98.91
2900	99
3000	99.08
3300	99.21
3600	99.06
3700	98.91
3800	98.7
3900	98.4
4000	98.03
4500	94.69
5000	88.95
5500	81.47
6000	73.19
6500	64.89
7000	57.06
7500	49.96
8000	43.68
8500	38.19
9000	33.45
9500	29.36
10000	25.85
12000	16.04
14000	10.49
16000	7.19
18000	5.13
20000	3.78
22000	2.87
24000	2.23
26000	1.78
28000	1.45
30000	1.2
